Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-01-06 20:17:41;2021-02-01;B.1.630;;;VUM;False;867;0
3;2022-01-06 20:17:41;2021-02-01;AZ.5;;;VUM;True;867;0
3;2022-01-06 20:17:41;2021-02-08;B.1.351;Beta;VOC;VOC;False;937;30
3;2022-01-06 20:17:41;2021-02-08;P.1;Gamma;VOC;VOC;False;937;1
3;2022-01-06 20:17:41;2021-02-08;B.1.617.2;Delta;VOC;VOC;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.1.529;Omicron;VOC;VOC;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.621;Mu;VOI;VOI;False;937;0
3;2022-01-06 20:17:41;2021-02-08;C.37;Lambda;VOI;VOI;False;937;0
3;2022-01-06 20:17:41;2021-02-08;AY.4.2;;VOI;;True;937;0
3;2022-01-06 20:17:41;2021-02-08;C.36+S:L452R;;VUM;;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.1.318;;VUM;;False;937;0
3;2022-01-06 20:17:41;2021-02-08;P.1+S:P681H;;VUM;;True;937;1
3;2022-01-06 20:17:41;2021-02-08;B.1.617.2+S:K417N;;VUM;;True;937;0
3;2022-01-06 20:17:41;2021-02-08;C.1.2;;VUM;VUM;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.617.2+S:E484del;;VUM;;True;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.617.2+S:Q613H;;VUM;;True;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.617.2+S:Q677H;;VUM;;True;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.640;;VUM;VUM;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.1.7;Alpha;DEV;VOI;False;937;250
3;2022-01-06 20:17:41;2021-02-08;B.1.525;;DEV;VUM;False;937;1
3;2022-01-06 20:17:41;2021-02-08;B.1.617.1;;DEV;VUM;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.526;;DEV;VUM;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.1.519;;DEV;VUM;False;937;0
3;2022-01-06 20:17:41;2021-02-08;B.1.630;;;VUM;False;937;0
3;2022-01-06 20:17:41;2021-02-08;AZ.5;;;VUM;True;937;0
3;2022-01-06 20:17:41;2021-02-15;B.1.351;Beta;VOC;VOC;False;1048;32
3;2022-01-06 20:17:41;2021-02-15;P.1;Gamma;VOC;VOC;False;1048;1
3;2022-01-06 20:17:41;2021-02-15;B.1.617.2;Delta;VOC;VOC;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.1.529;Omicron;VOC;VOC;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.621;Mu;VOI;VOI;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;C.37;Lambda;VOI;VOI;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;AY.4.2;;VOI;;True;1048;0
3;2022-01-06 20:17:41;2021-02-15;C.36+S:L452R;;VUM;;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.1.318;;VUM;;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;P.1+S:P681H;;VUM;;True;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.617.2+S:K417N;;VUM;;True;1048;0
3;2022-01-06 20:17:41;2021-02-15;C.1.2;;VUM;VUM;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.617.2+S:E484del;;VUM;;True;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.617.2+S:Q613H;;VUM;;True;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.617.2+S:Q677H;;VUM;;True;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.640;;VUM;VUM;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.1.7;Alpha;DEV;VOI;False;1048;617
3;2022-01-06 20:17:41;2021-02-15;B.1.525;;DEV;VUM;False;1048;4
3;2022-01-06 20:17:41;2021-02-15;B.1.617.1;;DEV;VUM;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.526;;DEV;VUM;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.1.519;;DEV;VUM;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;B.1.630;;;VUM;False;1048;0
3;2022-01-06 20:17:41;2021-02-15;AZ.5;;;VUM;True;1048;0
3;2022-01-06 20:17:41;2021-02-22;B.1.351;Beta;VOC;VOC;False;1037;19
3;2022-01-06 20:17:41;2021-02-22;P.1;Gamma;VOC;VOC;False;1037;3
3;2022-01-06 20:17:41;2021-02-22;B.1.617.2;Delta;VOC;VOC;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.1.529;Omicron;VOC;VOC;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.621;Mu;VOI;VOI;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;C.37;Lambda;VOI;VOI;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;AY.4.2;;VOI;;True;1037;0
3;2022-01-06 20:17:41;2021-02-22;C.36+S:L452R;;VUM;;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.1.318;;VUM;;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;P.1+S:P681H;;VUM;;True;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.617.2+S:K417N;;VUM;;True;1037;0
3;2022-01-06 20:17:41;2021-02-22;C.1.2;;VUM;VUM;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.617.2+S:E484del;;VUM;;True;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.617.2+S:Q613H;;VUM;;True;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.617.2+S:Q677H;;VUM;;True;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.640;;VUM;VUM;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.1.7;Alpha;DEV;VOI;False;1037;794
3;2022-01-06 20:17:41;2021-02-22;B.1.525;;DEV;VUM;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.617.1;;DEV;VUM;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.526;;DEV;VUM;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;B.1.1.519;;DEV;VUM;False;1037;2
3;2022-01-06 20:17:41;2021-02-22;B.1.630;;;VUM;False;1037;0
3;2022-01-06 20:17:41;2021-02-22;AZ.5;;;VUM;True;1037;0
3;2022-01-06 20:17:41;2021-03-01;B.1.351;Beta;VOC;VOC;False;1515;24
